tomato_id,ripeness_class,estimated_harvest_date,frames_tracked
1493,green,2026-09-07,6
1495,fully_ripened,2026-08-24,2
1498,green,2026-09-07,3
1503,half_ripened,2026-08-30,27
1507,fully_ripened,2026-08-24,18
1518,green,2026-09-07,2
1532,fully_ripened,2026-08-24,4
1568,fully_ripened,2026-08-24,10
1569,green,2026-09-07,1
1574,fully_ripened,2026-08-24,2
1577,green,2026-09-07,2
1582,green,2026-09-07,56
1590,half_ripened,2026-08-30,3
1591,green,2026-09-07,36
1602,fully_ripened,2026-08-24,1
1607,green,2026-09-07,4
1611,green,2026-09-07,41
1618,green,2026-09-07,1
1620,green,2026-09-07,1
1629,green,2026-09-07,44
1635,fully_ripened,2026-08-24,11
1641,green,2026-09-07,6
1644,green,2026-09-07,9
1645,fully_ripened,2026-08-24,7
1648,green,2026-09-07,7
1655,fully_ripened,2026-08-24,4
1656,green,2026-09-07,8
1657,fully_ripened,2026-08-24,7
1669,green,2026-09-07,1
1676,green,2026-09-07,38
1683,green,2026-09-07,1
1696,green,2026-09-07,31
1699,green,2026-09-07,10
1700,green,2026-09-07,29
1710,fully_ripened,2026-08-24,24
1715,green,2026-09-07,3
1724,fully_ripened,2026-08-24,1
1726,green,2026-09-07,4
1729,half_ripened,2026-08-30,1
1731,half_ripened,2026-08-30,3
1732,half_ripened,2026-08-30,3
1733,green,2026-09-07,4
1735,green,2026-09-07,2
